Location_Coordinates,Hospital_Name,Address_Original_First_Line
"14.6818877, 77.6005911",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),"7/201, Court Road"
"14.6607456, 77.6085681",Vijaya Nursing Home,Navodaya Colony
"13.0433764, 80.1622367",Mamatha Nursing Home,"12-2-865, 1St Cross, Sai Nagar"
"14.6735546, 77.6081894",Anantapuram Praja Vaidyasala,"28-639-1, Behind Sangamesh Funtion Hall"
"14.6818877, 77.6005911",Balaji Nursing Home,M.F. Road
"14.6818877, 77.6005911",Dr B V Syamala Ratnam Hospiatal,"Opposite R.T.C Bus Stand, Hindupur (Po)"
"14.178135, 77.2728241",Girish Multispeciality Hospital,"#18-1-167, M F Road, Hindupur"
"13.8358978, 77.5046101",Shilpa Hospital,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur"
"13.8185378, 77.4988753",Sreenivasa Nursing Home,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur
"13.8371751, 77.4878898",Teja Nursing Home,R.P and G.T Road Hindupur
"14.910003, 78.0005407",Sharada Nursing Home and Falvia P Reddy Diagnostic,"1/531A-3, East Palem, C B Road, Tadaptri"
"14.9070274, 78.0092703",Sri Kanchani Hospital,"C.B Road, Tadpatri"
"14.4137447, 77.7126189",Devi Nursing Home,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram"
"14.4068919, 77.7125679",Spandana Hospital,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram"
"15.1622611, 77.3826845",Preethi Nursing Home,"Thilak Nagar, Guntakal"
"13.217176, 79.1003289",Dr. Ramalakshmi Nursing Home,"No.17-433, Lakshmi Complex, Sundarayyar Street"
"13.217176, 79.1003289",Dr. V. K. R. Nursing Home and Scan Centre,"No. 20-142/1, Near Raghava Theatre, Naidu Building"
"28.6481837, 77.3709431",Lakshmi Hospital,"D.No:17-284,,T.V.Naidu St"
"39.5988355, -77.932359",S.M.Clinic,"# 2-1250, Officers Lane"
"13.217176, 79.1003289",Sreelatha Modern Eye Hospital And Research Centre,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office"
"13.65, 78.933333",Sujatha Nursing Home,"#2-1090, Padmavathi Nagar, Piler"
"13.36592, 78.5750141",Balaji Hospital,Opp:Tn Petrol Bunk Punganur Punganur
"13.36592, 78.5750141",Vijaya Nursing Home,Gokul Theater Road Punganur Punganur
"13.5508703, 78.50597",Balaji Multi Speciality Hospital,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle"
"13.5603491, 78.5036065",Bhavya Child Care Center,Near Rtc Bus Stand Chittoor Madanapalli
"13.5508703, 78.50597",Bhavyas Children Hospital,R T C Bus Stand Madanpalle
"13.5603491, 78.5036065",Chandra Mohan's Nursing Home,14/2A Ctm Road Beside Icici Bank Madanapalli
"13.5603491, 78.5036065",Desai Hospital,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle"
"14.4656511, 78.8330438",Desai Hospital-Madanapalli,"No. 3-153-4-3-1, Near Rtc Bus Stand"
"18.4328566, 79.1303578",Emergency Hospital,"Near R.T.C.Busstand,C.T.M.Road"
"13.217176, 79.1003289",Gupta Nursing Home,C.T.M.Road
"13.5529488, 78.5086376",Kathasagaram Hospitals,"# 15-37, Burma St, C.T.M. Road"
"13.217176, 79.1003289",Leo Hospital,",,C.T.M.Road"
"13.5657237, 78.5066868",M.V.L Hospital,C.T.M Road(Opp State Bank Of India) Madanapalle
"13.553374, 78.5065719",Madanapalle Hospital Pvt Ltd,"C.T.M Road, Madanapalle"
"30.3145962, 78.0357476",Popular Nursing Home,"Gandhi Road,,Gandhi Road"
"13.5603491, 78.5036065",Rama Orthopaedic Nursing Home,"Iv-5-3, Marpoori Colony, Madanapalle"
"13.553374, 78.5065719",Shantharam Hospital,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle"
"14.6818877, 77.6005911",Sri Kaveri Speciality Hospital,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle"
"13.5603491, 78.5036065",Usha Speciality Hospital,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle"
"13.5603491, 78.5036065",Viswa Orthopaedic Hospital,"D No 11-70, Patel Road Madanapalli"
"12.7279579, 78.3512397",P E S Institute Of Medical Sciences and Research,Kuppam Palmaner Road
"12.7510218, 78.340196",Rathna Childrens and General Hospital,"Palace Road, Kuppam"
"12.7470314, 78.3330157",Sri Priya Nursing Home,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam"
"13.6403071, 79.4176391",Apollo Multispeciality Hospital,"D.No :10-15-189/I2, K.K. Layout, Tirupati"
"13.6320156, 79.4260025",Asalatha Medicare Pvt Lt,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati"
"13.217176, 79.1003289",Balaji Institute Of Surgery Research And Rehabilit,Tirupti (B.I.R.R.D)
"13.6344095, 79.425573",Balaji Orthopaedic And Trauma Hospital,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati"
"13.6338436, 79.4210045",Bhaskar Allergy and Chest Hospital,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati"
"13.6338782, 79.4195997",Clinic Nisha,"398A, Doddapuram Street, Tirupati"
"13.6244611, 79.4310052",Dbr And Sk Super Speciality Hospital,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road"
"13.6287557, 79.4191795",Eye Care Centre and Contact Lens Clinic,Nehru Nagar Behind Jyothi Talkies Tirupati
"13.6361446, 79.4204532",Harshitha Hospital,"10-13-568,,Reddy and Reddy Colony"
"13.6781837, 79.352188",M S Hospital,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road"
"13.6287557, 79.4191795",M.M Hospital,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati"
"13.6302513, 79.4118237",Manohari Nursing Home,"548, R.R. Colony,Tirupati"
"13.6287557, 79.4191795",Meghana Hospital,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati"
"13.217176, 79.1003289",Navya Netralaya Eye Hospital,2-2-349 K.V. Layout
"13.6390013, 79.4272041",Neelima Maternity Nursing Home,"18-2-246 , Road No-1 Abbanna Colony Tirupati"
"13.6287557, 79.4191795",Nirmala Hospitals,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati"
"13.6361446, 79.4204532",Om Children Surgical Superspeciality Centre,"10-13-486, Reddy and Reddy Colony, Tirupati"
"13.6287557, 79.4191795",Prameela Hospital,10 - 3 - 206 Kotakommala Street Tirupati
"13.6338436, 79.4210045",Prashanth Hospital,"#: 410, Tilak Road Tilak Road Tirupati"
"13.6244611, 79.4310052",Raghavendra Urological Super Speciality Hospital (Russh Hospital),"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati"
"13.6361446, 79.4204532",Rama Nursing Home,"535, Reddy and Reddy Colony , Tirupati"
"13.6365271, 79.4127143",Ramya Hospital,"-4-566, Nehru Nagar, Tirupathi, Chittoor"
"13.6287557, 79.4191795",Ravi Neuro and Emergency Hospital - Chittoor,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati"
"13.6361446, 79.4204532",Sakthi Medicals,"548, Reddy and Reddy Colony,Tirupati"
"13.6368739, 79.4144319",Shyamala Nursing Home,"101, Sarojinideavi Road, Tirupati"
"13.6157076, 79.4125828",Sree Emergency and Crticial Care Hospital,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati"
"13.6361446, 79.4204532",Sri Chakra Hospitals,"10-13-496, , Reddy and Reddy Colony, Tirupati"
"23.0866456, 72.5630236",Sri Padmavathi Multi Speciality Hospital,"6-1-46, R.S.Gardens Tirupati"
"13.6388217, 79.4204627",Sri Ramadevi Multi Super Speciality Hospital,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati
"13.6361446, 79.4204532",Sri Sai Sudha Hospitals,"521, Reddy and Reddy Colony, Chittor, Tirupati"
"13.217176, 79.1003289",Sri Suraksha Hospital,Tirupati
"13.217176, 79.1003289",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple
"13.6287557, 79.4191795",Sri Venkateshwara Institute Of Medical Sciences,Tirupati
"26.896961, 75.792554",Sri Venkateswara Hospitals,"No. 20-03-88G, Siva Jyothi Nagar"
"13.6287557, 79.4191795",Srinivasa Super Speciality Hospital,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati"
"13.6361446, 79.4204532",Suguna Nursing Home,"515,Reddy Reddy Colony, Tirupati"
"13.6095995, 79.4489169",Sviss Hospital,"326,Nethaji Road,Tirupati"
"13.6287557, 79.4191795",Swaranamrutha Hospital,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati"
"13.6361446, 79.4204532",Triveni Child Care Hospital,"525,Reddy  and Reddy Colony,Tirupathi"
"13.6358027, 79.420805",Venkataramana Heart And Maternity Hospital,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati"
"13.639101, 79.4177213",Vision Care Clinic,"6-2-88, Old Maternity Hospital Road, Tirupati"
"13.6335087, 79.4170539",Elite Hospital,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony"
"13.217176, 79.1003289",Maha Hospitals,13-7-936/6 Tuda Road
"28.6779455, 77.3103012",Vennela Super Speciality Eye and Dental Hospital,"502,B, 1St Floor, Opp Sbi Kt Road"
"13.6452591, 79.419089",Manasa Kidney Foundation,"K. T. Road, Tirupati"
"13.6370231, 79.4206271",Rushh Hospital,"V.V.Mahal Road, Tirupathi"
"13.6287557, 79.4191795",Swarna E.N.T Super Speciality Hosptial,"6-1-12A, Beside Old Maternity Hospital, Tirupati"
"13.633255, 79.4552064",Swarnamurtha Hospital,"91,Old M.H.Road,1/1,Tirupathi"
"12.7686756, 75.2070644",Sri Sai Nursing Home,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur"
"13.3200519, 79.585628",C.S.I. Hospital,Nagari-517590
"13.7392101, 79.7119419",Chaitanya Childrens Hospital,"Door No-7/370, Nagarchipalem, Srikalahasti"
"13.217176, 79.1003289",Eswari Nursing Home,"# 7-723,Kothapet"
"13.217176, 79.1003289",Sai Kanthi Eye Hospital,Kothapet
"22.5657131, 88.3557301",Vani Priya Hospital,"V R Temple Street, Nehru Road"
"14.480391, 78.8340173",Balaji Nursing Home,"6/1565, Sankara Puram"
"17.6651796, 75.8970483",Jyothi Nursing Home,3/374 Railway Station Road Railway Station Road
"19.0266349, 72.8594614",K.C.M. Hospital,"#3/224, Upendra Complex"
"14.4701485, 78.8297701",Palla Krishnaiah Memorial And Nursing Home,21/188 and 21/187 Christian Lane
"14.4701485, 78.8297701",Sri Krishna Sahithi Eye Hospital,3/137 Christian Lane Christian Lane
"14.4783864, 78.8252721",Srija Rainbow Childrens Hospital,Madras Road
"14.686981, 78.3909238",Tata Reddy Ramalinga Reddy Nursing Home,"17/48, Kapu Street, Jammalamadugu"
"14.4701485, 78.8297701",Vurimi Savitramma Cardiac Centre,# 3/225 Upendra Complex Christian Lane
"14.480391, 78.8340173",Dr G R K R Multi Speciality Hospitals,"6/1414, Sankarapuram"
"18.000695, -76.8938358",Remedy Hospital,"D.No.3/221,Christian Lane,Near 7 Roads"
"13.0311046, 80.2720822",Sri Satya Sai Hospital,"6-880, Madras Road Sankarapuram"
"17.7266953, 83.3054733",Usha Rani Nursing Home,"1/706 - 3, Dwarakanagar"
"13.9518505, 79.3492863",Vishnu Nursing Home,10/596 M. G. Road Rly. Kodur
"14.1965314, 79.1563718",Sree Durgaa Nursing Home,Nagulamanu Street Rajampet Rajampet
"14.2050808, 79.1549173",Sri Sai Nursing Home,"6/133, R S Road Rajampet Rajampet"
"14.0585458, 78.7518863",Madhavi Nursing Home,"Harinatha Street, Rayachoty"
"14.7491864, 78.5531577",Abhilash Netra Vidyasala,"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur"
"14.7500333, 78.5478809",B. G. R. Hospital,"Gandhi Road, Proddatur (P.O.)"
"14.7500333, 78.5478809",Bhavya Nursing Home,"Near Gabdhi Statue, Gandhi Road, Proddatur"
"14.7491864, 78.5531577",Cnr Nursing Home,Gandhi Road Proddutur Proddatur 516360  Kadapa
"14.7528736, 78.5514834",Kalyana Chakravarthy Hospitals - Proddatur,"3 / 1467 , Holmespet , Proddatur"
"14.7512835, 78.5497493",Kathya Nursing Home,"8/399, Swayam Sevak Road, Proddatur"
"26.1781993, 91.773379",Lakshmi Kishore Hospital,"No. 5/1895, Gandhi Road,Geetha Ashram Street"
"14.7491864, 78.5531577",Orthopaedic And Maternity Hospital,"Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur"
"14.7500333, 78.5478809",Shree Veja Nursing Home,"8/700, OppositePosina Compound, Gandhi Road,Proddatur"
"14.7500333, 78.5478809",Siva Nursing Home,"4/626,Gandhi Road,Proddatur"
"14.7600159, 78.5393058",Swarup Eye Hospital and Laser Center,T. B. Road
"14.7491864, 78.5531577",Vaatsalya Hospital,Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur
"14.7500333, 78.5478809",Vijaya Eye Hospital,"Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur"
"14.7528736, 78.5514834",Nikhil Nursing Home,Holmespet Proddatur
"14.686981, 78.3909238",Sree Tati Reddy Ramalinga Reddy Nursing Home,"17-48, Kapu Street, Jammalamadugu"
"14.6857186, 78.3909785",Sri Thati Reddy Ramalinga Reddy Nursing Home,"17/48, Kapu Street Jammalamadugu"
"14.8474197, 78.3899108",Venkata Sai Baradwaja Hospital,"M D O Office Road, Jammalamadugu"
"32.458567, 74.5000465",7 Star Superspeciality Hospital,"20-1-61, Opposite L. I. C. Building, Main Road"
"17.0769388, 82.1385327",Apollo Samudra Hospitals,"13-1-3, Main Road, Kakinada"
"16.9890648, 82.2474648",Bharani Hospital,Kakinada
"29.5160925, 74.5877445",Care Emergency Hospital,"Near Ii Town Police Station,Main Road."
"16.9837142, 82.2404611",Christian Cancer Center,Kakinada
"16.9482342, 82.2528975",Haritha Hospitals,"P R College Road, Opp Govt Hospitals P R College Road Kakinada"
"16.9890648, 82.2474648",Kakinada Nursing Home,Kakinada
"17.0769388, 82.1385327",Life Line Emergency Hospital,"13-1-13, Main Road, Kakinada"
"16.9640729, 82.2329395",Raghava 24 Hrs Emergency Hospital,11-11-3/1 Prabhakara Street Ramaraopeta Kakinada
"16.9482342, 82.2528975",Sai Sudha Hospital,"21-1-24,Jawahar Street,Shalypet"
"16.9558071, 82.2330899",Shravani Ent Hospital,"Dno:21-1-29, Jawahar St, Kakinada"
"16.954694, 82.2327304",Siddhartha Hospital,"34-1-20, Temple Street, rict East Godawari, Kakinada,"
"16.9890648, 82.2474648",Sri Gowthami Nursing Home,"Nageswara Rao Street,Ramrao Pet,Kakinada"
"16.9510095, 82.2365598",Sri Lalitha Hospitals Institute Of Lap Surgery And Training,"Cinema Street, Opp Anandabharathi, Cinema Street Kakinada 533001  East Godavari"
"16.9890648, 82.2474648",Sri Srinivasa Orthopaedic Centre and Nursing Home,"7-3-15 Prakash St, Ramarao Peta, Kakinada"
"17.0005383, 81.8040345",Srihitha Children Hospital,Rajahmundry
"16.9639769, 82.2236918",Vijaya Nursing Home,Jawahar Street Kakinada Kakinada 533001  East Godavari
"17.0005383, 81.8040345",Vishwanadha Eye and Maternity Hospital,Rajahmundry
"34.1255413, 74.9442585",Bhanu Nursing Home and Eye Hospital,"Endowments Colony, 100 Building Centre Srinagar"
"16.9754085, 82.2352397",Mother and Child Hospital,"2-4-10 Near Suruchi Sweet Stall, Behind Padmapriva Theatre, Bhanugudi Junction, Kakinada"
"16.9695602, 82.2388249",Nayana Eye Care,"2-10-50 Srinagar, Bhanugudi Junction Kakinada 533003  East Godavari"
"16.9506495, 82.2333585",Ramalingeswara Nursing Home,"Ganjamvari Street, Kakinada"
"16.9890648, 82.2474648",Saipriya Maternity Hospital,"Lig No.6,100 Building Complex Road, Kakinada"
"16.9890648, 82.2474648",Kasturi Nursing Home,"#11-5-9, Gopalakrishna Street,Ramaraopeta, Kakinada"
"12.6670587, 79.2782323",Poly Clinic and Hospital,"Gandhi Nagar, Gandhi Nagar"
"16.9890648, 82.2474648",Ravichandra Hospital,"11-5-10, Gopala Krishna Street, Ramaraopet,Kakinada"
"16.9663046, 82.2270885",Sanjivi Orthopaedic Hospital,#: 11-11-1 Ramaraopet Kakinada 533004  East Godavari
"16.9890648, 82.2474648",Sri Sai Raghavendra Super Specialities Hospital,"8-5-19/1, Ontimamidi Junction, Gandhinagar, Kakinada"
"16.9890648, 82.2474648",Sri Venkata Chalapathi Nursing Home,"10-7-39, Kopellavari Street Ramaraopet(Near Duper Bazar),Kakinada"
"16.9890648, 82.2474648",Sri Venugopal Hospital,Venugopal Nursing Home Kamalendera Nath Street Narasanana Nagar Kakinada
"16.9663046, 82.2270885",Sudha Urology And Andrology Hospital,"10-5-8, Nageswara Rao Street, Rama Rao Pet 2Nd Junction Kakinada 533004  East Godavari"
"16.9607952, 82.2282795",Surya Global Hospitals,"10-5-27/1, Nageswara Rao Street, Ramaraopeta Kakinada 533004  East Godavari"
"16.9663046, 82.2270885",Vasan Eye Care Hospital,"6-1-37/Nookalamma Temple Street, Suryaraopet, Kakinada 533004  East Godavari"
"16.9890648, 82.2474648",Srikiran Institute Of Ophthalmology,"Near Atchampeta Junction, Penumarthi Road, A.P.S.P Camp Post, Kakinada,"
"16.9967552, 82.2569717",Sushrutha Hospital,"4-111, Manikyanagar Rd-2, Valasapakala, Kakinada"
"16.9523477, 82.1305609",Sri Srinivasa Nursing Home,Pedapudi
"17.3977354, 78.5095841",Abhay Nursing Home,"J N Road Ramalayam, Tilak Road"
"17.0005383, 81.8040345",Aravindam Ortho and Physio Centre,"6-18-3, Kokkondavari Street, Rajahmundry"
"16.9955344, 81.777335",Aruna Hospital and Poly Clinic,"Main Road,, Innespeta"
"17.0085074, 81.7903215",Bhaskara Raju Children Hospital,Prakash Nagar Rajahmundry
"16.9955344, 81.777335",Sri Satya Nursing Home,"Innespt, Rajahmundry-1"
"11.0216153, 76.9512637",Sri Srinivasa Hospitals,"75-8-12, Gandhipuram-Ii"
"17.0005383, 81.8040345",Sri Venkateswara Hospitals,"D.No. 10-7-38, Fort Gate,Near Adilaxmi Temple . Rangreejupeta. Rajahmundry"
"17.025988, 81.785442",Abhaya Emergency Centre,"79-1-4/1, Jn Road Rajamundry Rajamundry 533103  East Godavari"
"17.0085074, 81.7903215",Alert Emergency Hospital,"# 74-11-7, Prakash Nagar, East Godavari rict"
"17.0068895, 81.7829842",Ammanna Memorial Murtys Neuro Super Speciality Ho,"D.No : 46-21-10, Danavaipeta, Rajahmundry"
"16.9937064, 81.7762669",Aruna Hospital and Polyclinic,"Main Road, Near Kottipalli Bus Stand, Rajahmundry"
"17.0112469, 81.7827774",Bharadwaja Heart and Maternity Centre,"75-8-12,Gandhipuram,Rajahmundry"
"17.048743, 81.799831",Bhavani Nursing Home,"Jayakrishnapuram, Rajahmundry"
"17.0096947, 81.7760339",Buddudu Orthopeadic Hospital,"Debichowk, Rajahmundry"
"17.0068895, 81.7829842",Coastal Cardiac And Maternity Centre,Near Danavaipeta Park Besind Hdfc Bank Danavaipeta Park Rajamundry 533103  East Godavari
"17.0005383, 81.8040345",Geetha Mullapudi Sperspeciality Dental Hospital,"Vt College Road, Behind Kotipalli Bus Stand, Rajahmundry"
"17.0085074, 81.7903215",Gowthami Nursing Home,"75-1-12, Prakash Nagar, Rajahmundry , East Godavari"
"17.0085074, 81.7903215",Harsha Hospitals,"75-1-7, Prakash Nagar Rajamundry 533103  East Godavari"
"17.0068375, 81.7875023",Kamalakar Hospital,"D. No.75-7-20, Near Prakash Nagar,Round Park,"
"17.0112469, 81.7827774",Krishna Nursing Home,"Gandhipuram 3, Rajahmundry"
"17.0068895, 81.7829842",Nest Hospital,"# 46-12-12,Opp Sagar Hospital, Danavaipet, Rajahmundry,"
"17.0005383, 81.8040345",Netra Eye Care,"# 76-5-4, Opposite Aakar Consulting Eng. Ganugala Veedhi, Rajahmundry"
"17.0015368, 81.7899798",Prasanthi Nursing Home,"Syamala Nagar, Rajahmundry"
"11.021315, 76.970487",Raja Neuro And Multi Speciality Hospital Pvt Ltd,"76-4-7, Gandhipuram - 2"
"17.4404903, 78.4739384",Rajahmundry Orthopedic Hospital,"75-1-18, Prakash Nagar"
"17.0068895, 81.7829842",Ratna Orthopaedic Center,"Danavai Peta, Rajahmundry"
"17.0068895, 81.7829842",Sanjana Orthopaedic Hospital,"46-18-22, Opposite Idbi Bank, Danavaipeta"
"17.0068895, 81.7829842",Sreya Medical Speciality Centre,"D.No.46-12-19, Gandhi Park Back Road,Danavaipeta,Rajahmundry,"
"17.0112469, 81.7827774",Sri Ramadas Hospitals,"# 78/8-7, Gandhipuram-3, Rajahmundry,"
"17.0068895, 81.7829842","Sri Suguna Children,S Hospital","Danavaipet, Rajahmundry"
"17.0068375, 81.7875023",Surya Hospital,Near Round Park Praksh Nagar Rajamundry 533103  East Godavari
"17.006802, 81.7830251",Swetha Hospitals - Rajahmundry,"Danavai Peta, D. N. -46-18-8/2 , East Godavari,"
"17.0039159, 81.7948734",V.B. Chest Institute,"Tilak Road, Rajahmundry"
"17.0021675, 81.7855401",Vijaya Hospital,"#78-9-11/9, Behind R.T.C Complex ,Gandhipuram (:East Godavari )"
"17.0151123, 81.7725499",Akira Eye Hospital,"Aryapuram, Rajahmundry,"
"17.0100744, 81.7724645",Dr A V R Ananda Rao Memorial Eye Clinic,Opp Gokavaram Bus Stand Rajamundry
"17.0005383, 81.8040345",Kranti Nursing Home,"20-23-7, Aryapuram, Near Gokavaram Bus Stand Rajahmundry"
"17.0005383, 81.8040345",Royal Hospital,"# 20-23-4, Behind Nagadevi Theatre, Near Gokavaram Bus Stand, Rajahmundry,"
"17.0096947, 81.7760339",Siddhartha Orthopaedic Hospital and Polyclinic,"Devi Chowk, Rajahmundry,"
"17.0151123, 81.7725499",Sree Latha Hospital,"# 12- 21- 4, Aryapuram, Rajahmundry"
"17.0005383, 81.8040345",Sri Ram Nursing Home,"Gowathmi Grandhalyam St., Rajahmundry"
"17.0005383, 81.8040345",Sri Srinivasa Orthopaedic Hospital,"At # 11-6-A, Beside Aryapuram Fire Station Near Gokavaram Bus Stand, Rajahmundry"
"17.0209155, 81.7711827",Chaitanya Nursing Home,"Seethampeta, Rajahmundry"
"17.0127714, 81.7782905",Swatantra Hospitals,"Near Kambala Park, Rajahmundry"
"17.0320097, 81.8101386",Saiteja Hospital,"Near Indiragandhi Statue Jn. Lalacheruvu, Rajahmundry"
"13.0560527, 80.2184139",Adarsh Multi Speciality Hospital and Neuro Center,D No.86-26-5 V.L.Puram
"43.1938516, -71.5723953",Sruthi Hospitals,"Near N.H-5,Bommur"
"16.567804, 81.9972968",Adarsha Hospital,"College Road, Amalapuram"
"16.4075276, 81.7886325",Care Hospital,"K N F Road, K N F Road"
"16.5720904, 82.0008548",Konaseema Institute Of Medical Sciences,Near Red Bridge Kamangaruvu Amalapuram 533201  East Godavari
"16.5720904, 82.0008548",Konaseema Institute Of Medical Sciences,"Chaitanya Nagar, Amalapuram"
"15.2913649, 75.1458943",Konaseva Institute Of Medical Science,"Nh 214, Chaintanya Nagar,"
"16.5720904, 82.0008548",Rohine Mother and Child Care Hospital,Amalapuram
"16.5720904, 82.0008548",Sai Leela Orthopaedic Hospital,"Yerranilivari Street , Amalapuram"
"16.567804, 81.9972968",Sri Konaseema Specialities Hospital,"College Road,Amalapuram, E G Dt."
"16.573678, 81.999496",Sri Venkateswara Nursing Home,"K. Agraharam , Amalapuram"
"16.567804, 81.9972968",V.N.Nursing Home,"3-2-117E, College Road, Amalapuram"
"16.6414998, 82.1042955",Janatha Hospital,"Mummidivaram , East Godawari, (A.P) -"
"16.7160148, 81.8957846",Sree Sravana Nursing Home,Kothapeta
"17.4986709, 81.9998367",Sri Venkateswara Nursing Home,Ravulapalem
"16.517212, 81.8702795",Sri Maha Laxmi Nursing Home,"Near R T C Complex, Razole"
"16.9999058, 81.7735238",Vijaya Laxmi Nursing Home,",K T Raja Rao Street,East Godawari rict."
"17.3036498, 82.2101462",Ravi Nursing Home,",Near Venkateshwara Temple,East Godawari rict."
"16.4242668, 81.7185253",Sri Sai Bhramarambika Nursing Home,"Sakhinetipalli Mandal, Razole"
"17.063139, 81.2917971",Vrd Care Hospital,Lakkavaram Lakkavaram
"16.8349808, 82.0302926",Adarsh Nursing Home,"Taluka Office Road, Ramachandrapuram Ramachandrapuram"
"16.8372408, 82.0325401",Kamala Nursing Home,Main Road Opp: Govt Junior College Main Road Ramachandrapuram
"13.0906485, 80.1555927",Sri Venkateshwara Nursign Home,"Dr. T.V.R. Reddi, M.B.B.S"
"16.7914449, 82.0597816",Sri Madhavananda Speciality Hospital,Opp Bheemeshwara Temple Draksharamam Draksharamam
"43.1938516, -71.5723953",G. S. L. General Hospital and Medical College,"Nh-5, Lakshmipuram, Rajanagaram"
